Timestamp,State,Mode,Probability,Confidence,InputIdleTime
2026-02-12 22:42:58.747,Active,Interactive,0.997,0.95,0.0
2026-02-12 22:42:58.778,Active,Interactive,0.998,0.95,0.0
2026-02-12 22:42:58.811,Active,Interactive,1.0,0.95,0.0
2026-02-12 22:42:58.842,Active,Interactive,1.0,0.95,0.0
2026-02-12 22:42:58.900,Active,Interactive,1.0,0.95,0.0
2026-02-12 22:42:58.921,Active,Interactive,1.0,0.95,0.0
2026-02-12 22:42:58.963,Active,Interactive,1.0,0.95,0.0
2026-02-12 22:42:58.983,Active,Interactive,1.0,0.95,0.0
2026-02-12 22:42:59.029,Active,Interactive,1.0,0.95,0.0
2026-02-12 22:42:59.060,Active,Interactive,1.0,0.95,0.0
2026-02-12 22:42:59.090,Active,Interactive,1.0,0.95,0.0
2026-02-12 22:42:59.123,Active,Interactive,1.0,0.95,0.0
2026-02-12 22:42:59.154,Active,Interactive,1.0,0.95,0.0
2026-02-12 22:42:59.206,Active,Interactive,1.0,0.95,0.0
2026-02-12 22:42:59.233,Active,Interactive,1.0,0.95,0.0
2026-02-12 22:42:59.268,Active,Interactive,1.0,0.95,0.0
2026-02-12 22:42:59.295,Active,Interactive,1.0,0.95,0.0
2026-02-12 22:42:59.326,Active,Interactive,1.0,0.95,0.0
2026-02-12 22:42:59.356,Active,Interactive,1.0,0.95,0.0
2026-02-12 22:42:59.388,Active,Interactive,1.0,0.95,0.0
2026-02-12 22:42:59.446,Active,Interactive,1.0,0.95,0.0
2026-02-12 22:42:59.468,Active,Interactive,1.0,0.95,0.01
2026-02-12 22:42:59.508,Active,Interactive,1.0,0.95,0.0
2026-02-12 22:42:59.530,Active,Interactive,1.0,0.95,0.03
2026-02-12 22:42:59.560,Active,Interactive,1.0,0.95,0.06
2026-02-12 22:42:59.593,Active,Interactive,1.0,0.95,0.09
2026-02-12 22:42:59.625,Active,Interactive,0.999,0.95,0.12
2026-02-12 22:42:59.655,Active,Interactive,0.999,0.95,0.15
2026-02-12 22:42:59.687,Active,Interactive,0.999,0.95,0.0
2026-02-12 22:42:59.750,Active,Interactive,0.999,0.95,0.0
2026-02-12 22:42:59.782,Active,Interactive,0.999,0.95,0.0
2026-02-12 22:42:59.814,Active,Interactive,0.999,0.95,0.0
2026-02-12 22:42:59.845,Active,Interactive,0.999,0.95,0.0
2026-02-12 22:42:59.876,Active,Interactive,0.999,0.95,0.0
2026-02-12 22:42:59.907,Active,Interactive,0.999,0.95,0.01
2026-02-12 22:42:59.937,Active,Interactive,0.999,0.95,0.0
2026-02-12 22:42:59.970,Active,Interactive,0.999,0.95,0.03
2026-02-12 22:43:00.002,Active,Interactive,1.0,0.95,0.06
2026-02-12 22:43:00.030,Active,Interactive,1.0,0.95,0.09
2026-02-12 22:43:00.061,Active,Interactive,0.999,0.95,0.12
2026-02-12 22:43:00.093,Active,Interactive,0.999,0.95,0.15
2026-02-12 22:43:00.124,Active,Interactive,0.998,0.95,0.18
2026-02-12 22:43:00.166,Active,Interactive,0.997,0.95,0.22
2026-02-12 22:43:00.188,Active,Interactive,0.996,0.95,0.25
2026-02-12 22:43:00.232,Active,Interactive,0.994,0.95,0.29
2026-02-12 22:43:00.265,Active,Interactive,0.993,0.95,0.32
2026-02-12 22:43:00.297,Active,Interactive,0.991,0.95,0.35
2026-02-12 22:43:00.327,Active,Interactive,0.989,0.95,0.38
2026-02-12 22:43:00.359,Active,Interactive,0.988,0.95,0.42
2026-02-12 22:43:00.388,Active,Interactive,0.986,0.95,0.45
2026-02-12 22:43:00.421,Active,Interactive,0.985,0.95,0.48
2026-02-12 22:43:00.470,Active,Interactive,0.983,0.95,0.53
2026-02-12 22:43:00.499,Active,Interactive,0.982,0.95,0.56
2026-02-12 22:43:00.536,Active,Interactive,0.98,0.95,0.59
2026-02-12 22:43:00.560,Active,Interactive,0.979,0.95,0.62
2026-02-12 22:43:00.593,Active,Interactive,0.978,0.95,0.65
2026-02-12 22:43:00.623,Active,Interactive,0.977,0.95,0.68
2026-02-12 22:43:00.655,Active,Interactive,0.975,0.95,0.71
2026-02-12 22:43:00.708,Active,Interactive,0.977,0.95,0.03
2026-02-12 22:43:00.732,Active,Interactive,0.979,0.95,0.02
2026-02-12 22:43:00.772,Active,Interactive,0.981,0.95,0.06
2026-02-12 22:43:00.794,Active,Interactive,0.984,0.95,0.02
2026-02-12 22:43:00.826,Active,Interactive,0.986,0.95,0.05
2026-02-12 22:43:00.858,Active,Interactive,0.989,0.95,0.08
2026-02-12 22:43:00.888,Active,Interactive,0.991,0.95,0.11
2026-02-12 22:43:00.950,Active,Interactive,0.993,0.95,0.17
2026-02-12 22:43:00.983,Active,Interactive,0.995,0.95,0.2
2026-02-12 22:43:01.016,Active,Interactive,0.997,0.95,0.24
2026-02-12 22:43:01.043,Active,Interactive,0.995,0.95,0.26
2026-02-12 22:43:01.076,Active,Interactive,0.994,0.95,0.3
2026-02-12 22:43:01.104,Active,Interactive,0.992,0.95,0.33
2026-02-12 22:43:01.137,Active,Interactive,0.991,0.95,0.36
2026-02-12 22:43:01.169,Active,Interactive,0.989,0.95,0.39
2026-02-12 22:43:01.199,Active,Interactive,0.987,0.95,0.42
2026-02-12 22:43:01.229,Active,Interactive,0.986,0.95,0.45
2026-02-12 22:43:01.261,Active,Interactive,0.984,0.95,0.48
2026-02-12 22:43:01.293,Active,Interactive,0.983,0.95,0.51
2026-02-12 22:43:01.322,Active,Interactive,0.982,0.95,0.54
2026-02-12 22:43:01.367,Active,Interactive,0.983,0.95,0.02
2026-02-12 22:43:01.402,Active,Interactive,0.984,0.95,0.01
2026-02-12 22:43:01.433,Active,Interactive,0.986,0.95,0.04
